participant,base_uuid,unique_uuid,group,num_points,hull_count,hull_contiguous,hull_switches,hull_segment_length,hull_first_position,adherence_score
20053,154207c9-e80a-40d6-9644-9d60a8d430c2,9b7b9aea-4711-441c-90dc-01b0f27ce56f,disperse,15,11,False,4,8,1,0.8181818181818181
20053,eef4ebf2-be9c-4dbc-bb07-6f1f65bfc621,cecdaa85-54f7-4a5e-8f09-7f62c4742b80,disperse,20,8,False,8,3,0,0.5
20053,53b26982-d905-4128-8b13-964e0a3defeb,1e077c2e-d072-4acf-9b5a-560abbaa7712,clustered,15,9,False,8,3,0,0.5555555555555556
20053,d76e3b17-76c3-468d-b775-9b228eb1301a,3ff1a2bc-dff9-44d3-91c3-5c81ffeaffae,clustered,15,7,False,8,2,4,0.4285714285714286
20053,d8b0ab6e-5a7c-4b2d-9c47-e493b84d0178,d831a14a-2cb7-4bd2-9b15-1513795194d1,disperse,25,10,False,12,3,1,0.4
20053,f872534c-e80e-4e92-9fa5-40845139e45c,4c6b2fa3-fd32-4479-8c87-934b6b72a6ca,disperse,15,7,False,10,2,0,0.2857142857142857
20053,aa123a56-54c6-4814-a77a-8ee3d41fb4af,b8b4b6d0-8c9d-4ec8-b873-0209f0b04914,clustered,20,8,False,6,4,1,0.625
20053,7e50e83d-e9ea-45bd-858e-15fc4e073fae,ca90c5cc-29e3-43c4-a8ab-eab0a13205bf,disperse,10,4,False,6,2,0,0.25
20053,e9079980-5664-4e1f-9c34-a8f217ec4994,a9a86c7b-7486-4f79-b1e5-c98e575b6607,clustered,20,8,False,10,3,1,0.375
20053,afa7ca48-bf45-4cbb-a9c4-78908f2814fb,c718fc11-8702-4ed8-a78a-513881e0f814,clustered,10,6,False,6,2,0,0.5
20053,ae2e1a70-43a2-4d30-9134-5f19361b5e18,d96c7271-ed6a-425f-adf0-ad3143072b08,clustered,10,5,False,4,3,0,0.6
20053,8b3ef66f-dce6-4ac1-b5c9-401d17608f2a,12c7c9f8-7585-4b5d-bc7d-0c9189660730,disperse,10,6,False,6,3,0,0.5
10036,238a8f7d-e7b1-46bf-bfc2-b750613b470f,54540327-f399-4189-b22e-85e101370406,disperse,10,4,False,6,2,0,0.25
10036,80591d3c-75e8-467a-a4c8-a500dfa726fa,9ce3d901-93d3-4d48-bcf0-fa3873dc7a8c,disperse,10,8,False,4,5,0,0.75
10036,f9222368-ac90-4343-9293-76729210f9dc,cfa09839-815a-429b-ba59-4f9322af2228,clustered,15,8,False,4,5,0,0.75
